original_name,authoritative_name,uni_id,uni_data_source
UCSF's Parnassus campus,UCSF's Parnassus campus,,
UH-Manoa,UH-Manoa,,
UIS,UIS,,
UL system,UL system,,
UMass Boston,UMass Boston,,
UNC-Chapel Hill,UNC-Chapel Hill,,
UNCG,UNCG,,
Universite de Montreal,Universite de Montreal,,
Université de Montréal,Université de Montréal,,
Université de Montréal (UdeM).,Université de Montréal (UdeM).,,
Université de Montréal’s (UdeM),Université de Montréal’s (UdeM),,
Université de Québec a Montréal,Université de Québec a Montréal,,
Université de Québec à Montréal,Université de Québec à Montréal,,
Université de Québec à Montréal (UQAM),Université de Québec à Montréal (UQAM),,
Université de Saint Boniface,Université de Saint Boniface,,
Université de Saint-Boniface,Université de Saint-Boniface,,
Université de Sherbrooke.,Université de Sherbrooke.,,
Université du Québec à Chicoutimi,Université du Québec à Chicoutimi,,
Université du Québec à Montreal,Université du Québec à Montreal,,
Université du Québec à Montréal,Université du Québec à Montréal,,
Université du Québec à Montréal (UQAM,Université du Québec à Montréal (UQAM,,
Université Laval,Université Laval,,
universities across Louisiana,universities across Louisiana,,
universities across Quebec,universities across Quebec,,
universities throughout Utah,universities throughout Utah,,
University California San Diego,University California San Diego,,
University California San Diego],University California San Diego],,
University of Alberta,University of Alberta,,
University of British Columbia,University of British Columbia,,
University of Calgary,University of Calgary,,
University of California,University of California,,
University of California - Los Angeles,University of California - Los Angeles,,
University of California at Berkeley,University of California at Berkeley,,
University of California Los Angeles,University of California Los Angeles,,
University of California San Diego,University of California San Diego,,
University of California San Francisco,University of California San Francisco,,
University of California-Berkley,University of California-Berkley,,
University of Chicago Pritzker School of Medicine,University of Chicago Pritzker School of Medicine,,
University of Colorado,University of Colorado,,
University of Guelph,University of Guelph,,
University of Illinois [at] Chicago,University of Illinois [at] Chicago,,
University of Illinois College of Medicine,University of Illinois College of Medicine,,
University of Illinois Springfield,University of Illinois Springfield,,
University of Laval,University of Laval,,
University of Lethbridge,University of Lethbridge,,
University of Louisiana,University of Louisiana,,
University of Louisiana Monroe,University of Louisiana Monroe,,
University of Manitoba,University of Manitoba,,
University of Maryland,University of Maryland,,
University of Massachusetts at Amherst,University of Massachusetts at Amherst,,
University of Michigan,University of Michigan,,
University of Michigan Ann Arbor,University of Michigan Ann Arbor,,
University of Minnesota,University of Minnesota,,
University of Missouri,University of Missouri,,
University of Montreal,University of Montreal,,
University of New Brunswick,University of New Brunswick,,
University of New Orleans school of hotel restaurant and tourism.,University of New Orleans school of hotel restaurant and tourism.,,
University of Northern British Columbia,University of Northern British Columbia,,
University of Oklahoma Norman Campus,University of Oklahoma Norman Campus,,
University of Ottawa,University of Ottawa,,
